pitcher,outs,innings,walks,hits,runners,whip,runs
607237,104,34.666666666666664,21,34,55,1.4504751451261673,0.08468485555279937
607359,70,23.333333333333332,12,19,31,1.3335908561022547,0.012377725574642229
607374,24,8.0,3,8,11,1.3426755508141286,0.01799771271601891
607391,56,18.666666666666668,6,20,26,1.3539732219190705,0.024986694553161937
607455,35,11.666666666666666,5,16,21,1.4384225674515676,0.07722887230845743
607468,11,3.6666666666666665,4,4,8,1.4052706693888875,0.05672039659919925
607481,125,41.666666666666664,23,33,56,1.3402255234983016,0.016482073231406047
607536,227,75.66666666666667,22,91,113,1.437918017159199,0.07691674666800163
607560,68,22.666666666666668,6,10,16,1.1131888734779787,-0.12396767155393773
607572,89,29.666666666666668,22,22,44,1.397709280993189,0.05204275944104153
607625,90,30.0,10,25,35,1.2650536861129,-0.03002083885296425
607644,292,97.33333333333333,17,82,99,1.1123373176107203,-0.12449446229109928
608032,124,41.333333333333336,15,45,60,1.3940013706835606,0.04974896653743921
608328,130,43.333333333333336,17,50,67,1.4437354774462432,0.08051555246671782
608331,323,107.66666666666667,34,113,147,1.3573041244213413,0.02704726233509014
608334,76,25.333333333333332,13,29,42,1.4585388048416557,0.08967320853006022
608335,145,48.333333333333336,23,39,62,1.3075036319130726,-0.00376039124130223
608337,419,139.66666666666666,41,120,161,1.194708066082618,-0.07353814929220603
608344,404,134.66666666666666,25,144,169,1.2740925142406627,-0.024429225764992624
608349,24,8.0,4,5,9,1.3021544358958128,-0.007069518711971257
608371,94,31.333333333333332,14,29,43,1.3519051682330767,0.0237073521545923
608379,251,83.66666666666667,24,107,131,1.489881432517899,0.10906243074434319
608566,418,139.33333333333334,48,118,166,1.224583690393577,-0.0550564468472422
608638,109,36.333333333333336,10,30,40,1.2262842898497446,-0.05400441952222901
608648,133,44.333333333333336,24,41,65,1.4035473254457587,0.05565429904636732
608650,14,4.666666666666667,3,4,7,1.3530090460446578,0.024390234662314603
608652,45,15.0,6,12,18,1.3001124342813704,-0.00833274473990131
608665,119,39.666666666666664,8,24,32,1.0770980426713075,-0.14629423413946852
608678,93,31.0,15,18,33,1.2199294489121315,-0.0579356605256498
608716,136,45.333333333333336,12,35,47,1.1797213199981467,-0.08280927209347322
608717,176,58.666666666666664,26,58,84,1.392374851106164,0.04874276661547383
608718,175,58.333333333333336,15,57,72,1.276657744196664,-0.02284231945447468
608723,126,42.0,15,40,55,1.3228695470629483,0.0057452936822557366
612434,152,50.666666666666664,29,42,71,1.3721517759728452,0.03623233827275829
613534,124,41.333333333333336,25,36,61,1.406094685093546,0.057230150400658375
614179,142,47.333333333333336,19,37,56,1.2545948529596735,-0.03649089752847612
615698,308,102.66666666666667,34,104,138,1.341935263991176,0.01753975539792796
617228,128,42.666666666666664,20,33,53,1.2885707154123538,-0.015472699762107855
620396,10,3.3333333333333335,1,5,6,1.3709997903166213,0.03551969521975984
621052,159,53.0,41,30,71,1.3382201329840058,0.015241495615842315
621056,15,5.0,2,2,4,1.278564965442889,-0.021662471455230925
621057,49,16.333333333333332,8,12,20,1.304732217443767,-0.005474847717265696
621074,35,11.666666666666666,5,16,21,1.4384225674515676,0.07722887230845743
621076,250,83.33333333333333,29,70,99,1.2372285107951515,-0.047234089540178825
621107,316,105.33333333333333,14,119,133,1.28345496192959,-0.018637414670359842
621111,464,154.66666666666666,39,108,147,1.0318674039186049,-0.17427487809596853
621114,64,21.333333333333332,12,11,23,1.2485247955355934,-0.04024596533787217
621121,346,115.33333333333333,55,97,152,1.3228029606171843,0.005704101877703982
621129,34,11.333333333333334,2,19,21,1.4475224214297204,0.08285823729733066
621139,19,6.333333333333333,3,10,13,1.4315362015083177,0.07296881852797155
621219,230,76.66666666666667,22,92,114,1.4342075911845769,0.07462139752003838
621237,122,40.666666666666664,36,37,73,1.5638223213557108,0.15480385163626764
621242,135,45.0,18,41,59,1.3232330539565742,0.005970166848913605
621244,411,137.0,37,124,161,1.212570490720494,-0.06248807001464196
621248,39,13.0,6,11,17,1.3295516114732293,0.009878962149347581
621249,196,65.33333333333333,23,73,96,1.4178457754932179,0.0644996271456495
621259,6,2.0,1,3,4,1.3670327182157813,0.03306557926950171
621261,29,9.666666666666666,2,12,14,1.3576138669278666,0.027238875697896403
621295,134,44.666666666666664,8,42,50,1.223738062755798,-0.055579570254404964
621345,107,35.666666666666664,16,35,51,1.3797114883262847,0.04090893859520017
621348,107,35.666666666666664,13,49,62,1.522524766815364,0.12925629799269822
621366,57,19.0,9,13,22,1.2802232736951054,-0.020636606376714495
621368,181,60.333333333333336,31,52,83,1.3597205644878183,0.02854212402634304
621433,3,1.0,2,2,4,1.399306799266766,0.053031018533984176
621593,62,20.666666666666668,5,23,28,1.342559084859167,0.017925664376470807
622065,134,44.666666666666664,18,55,73,1.491106396443596,0.10982021972123301
622072,343,114.33333333333333,34,117,151,1.324876326303661,0.006986730393788276
622075,96,32.0,22,34,56,1.5168346584100294,0.12573627480147043
622088,101,33.666666666666664,12,20,32,1.1632387228778074,-0.09300576045226494
622092,122,40.666666666666664,23,31,54,1.332181813236134,0.011506061414161772
622098,123,41.0,12,30,42,1.1810827797704835,-0.0819670438561243
622250,120,40.0,20,37,57,1.379972685538144,0.04107052079675666
622251,136,45.333333333333336,19,38,57,1.2950744570784407,-0.01144934557206867
622253,144,48.0,19,47,66,1.357145354034227,0.026949043565796083
622256,12,4.0,4,5,9,1.4169905061734465,0.0639705391870583
622446,67,22.333333333333332,15,24,39,1.4801373222167726,0.10303451496585136
622491,413,137.66666666666666,56,141,197,1.40914574567788,0.05911760196566329
622492,5,1.6666666666666667,2,8,10,1.5170822270162625,0.12588942605506404
622503,170,56.666666666666664,16,68,84,1.4207838085136408,0.06631715743361122
622608,336,112.0,24,141,165,1.4363246458115708,0.07593105295245994
622694,38,12.666666666666666,1,10,11,1.2266926577845323,-0.05375179435261723
622766,114,38.0,17,26,43,1.2383335488841027,-0.046550489259971184
622780,49,16.333333333333332,14,14,28,1.4434036694409205,0.08031028891274472
622786,4,1.3333333333333333,1,6,7,1.4586543185357843,0.08974466778061796
623149,115,38.333333333333336,11,23,34,1.1202165903262291,-0.11962017506968259
623167,375,125.0,26,137,163,1.312060428211992,-0.0009414592443548475
623352,124,41.333333333333336,14,20,34,1.0795751960239381,-0.14476181390625953
623354,13,4.333333333333333,1,5,6,1.3409934369872643,0.016957120998065678
623364,51,17.0,10,10,20,1.2898270351282322,-0.014695513420395545
623454,18,6.0,2,10,12,1.4204961979515105,0.06613923536664468
623470,13,4.333333333333333,3,10,13,1.4941987655285565,0.11173322561136534
623485,48,16.0,8,12,20,1.3123147420587065,-0.0007841352402206958
624133,152,50.666666666666664,18,27,45,1.089615710995272,-0.1385505358367891
624414,3,1.0,1,1,2,1.3520890836686958,0.023821126190601394
624418,8,2.6666666666666665,4,6,10,1.4826216081981,0.10457134759626596
624522,124,41.333333333333336,21,31,52,1.2972548554036767,-0.010100504368314334
624586,20,6.666666666666667,6,8,14,1.4424229471943204,0.07970359308091335
624647,98,32.666666666666664,17,34,51,1.4356278671625864,0.07550001072463919
625643,58,19.333333333333332,5,10,15,1.157852169373635,-0.09633799806617394
626929,43,14.333333333333334,4,13,17,1.2977195878271177,-0.00981301091622222
628317,305,101.66666666666667,30,107,137,1.344326024285839,0.019018731031149705
628345,21,7.0,4,8,12,1.3911209951277126,0.047967104394615157
628452,165,55.0,9,41,50,1.092504260521636,-0.136763617100359
628711,415,138.33333333333334,27,124,151,1.1479217057459161,-0.10248119601235761
640444,236,78.66666666666667,40,89,129,1.5352842106828564,0.13714956383604016
640448,138,46.0,20,44,64,1.3653220409977165,0.03200731762467124
640451,26,8.666666666666666,3,8,11,1.3247816739962353,0.006928176444810918
640455,399,133.0,33,134,167,1.2748007595960422,-0.023991089986476033
640462,22,7.333333333333333,4,2,6,1.2583696100444481,-0.03415575177497865
640464,40,13.333333333333334,6,19,25,1.4677262750793478,0.09535677481766758
640470,318,106.0,31,101,132,1.2708621645110787,-0.02642758944348622
641154,301,100.33333333333333,24,92,116,1.2087658411226725,-0.064841707918319
641302,195,65.0,14,73,87,1.3376687672543275,0.014900408941026733
641312,56,18.666666666666668,10,32,42,1.6205348181960102,0.1898874194507445
641360,107,35.666666666666664,9,28,37,1.197949133885638,-0.07153315518343362
641386,84,28.0,16,36,52,1.5466418750683588,0.14417565880422534
641394,158,52.666666666666664,31,38,69,1.321693156848135,0.005017553445497813
641401,133,44.333333333333336,14,39,53,1.263508165305782,-0.030976931197088997
641420,25,8.333333333333334,4,15,19,1.4946657566722938,0.11202211635631365
641447,52,17.333333333333332,7,21,28,1.4188101121459795,0.06509618649743432
641482,146,48.666666666666664,14,41,55,1.224904953331714,-0.05485770669816803
641540,296,98.66666666666667,35,106,141,1.4016947478114552,0.054508254758321106
641541,41,13.666666666666666,8,21,29,1.53153080092127,0.13482762399486292
641576,0,0.0,2,1,3,1.4089619231557704,0.05900388540794543
641582,99,33.0,11,38,49,1.4022948497905587,0.05487949072309917
641632,17,5.666666666666667,1,10,11,1.409299677358132,0.05921282740703515
641645,3,1.0,1,3,4,1.399306799266766,0.053031018533984176
641672,11,3.6666666666666665,1,7,8,1.4052706693888875,0.05672039659919925
641682,96,32.0,14,34,48,1.407778920027008,0.05827205428068005
641703,13,4.333333333333333,3,5,8,1.384766387999062,0.044036008030436946
641726,15,5.0,3,3,6,1.3217084111429833,0.005026990079706972
641729,100,33.333333333333336,26,32,58,1.516534134698681,0.12555036438323153
641743,99,33.0,18,41,59,1.5367812091169866,0.13807563919875732
641745,366,122.0,58,155,213,1.6422341381599252,0.20331108453157887
641755,142,47.333333333333336,20,47,67,1.3786219214610949,0.04023490914608363
641771,204,68.0,35,64,99,1.4107047402976303,0.06008202949948238
641778,217,72.33333333333333,26,64,90,1.277772980610723,-0.022152410271460088
641793,122,40.666666666666664,17,30,47,1.2468405734026058,-0.041287861299245665
641816,391,130.33333333333334,45,117,162,1.265478560549748,-0.029758002406884754
641835,107,35.666666666666664,10,30,40,1.2368982098372052,-0.047438420802297765
641851,78,26.0,11,21,32,1.2956401915904254,-0.01109937006010886
641871,89,29.666666666666668,16,27,43,1.3836294639491338,0.04333268241037325
641907,28,9.333333333333334,4,14,18,1.445451904539732,0.08157737110790009
