batter,stand,woba_L,pa_L,woba_R,pa_R
660271,L,0.3546956055357237,324,0.37461747551843333,728
660294,L,0.30458303933674374,63,0.31327031418563484,241
660821,L,0.3016541255838091,37,0.3321710949710401,83
660829,L,0.3208299468583933,12,0.3298164810054274,42
662139,L,0.29193844876660346,83,0.33442900505419326,201
663457,L,0.30531234241048916,11,0.342464199853664,33
663465,L,0.30618488253319714,2,0.3377250194179197,2
663616,L,0.2779775302330905,90,0.33848994420474215,211
663656,L,0.3224130094706579,251,0.3668465561104308,478
663753,L,0.30618488253319714,2,0.3377250194179197,2
663757,L,0.33766429947039,207,0.3429705597867171,607
663776,L,0.30618488253319714,2,0.3373893404578083,5
663905,L,0.30618488253319714,2,0.34392432211061813,22
663993,L,0.3155131727247112,215,0.33949566165489325,501
664040,L,0.32039606432923784,272,0.3703454661737628,754
664057,L,0.31023753435414214,26,0.33863639517136146,218
664119,L,0.2861357435197817,13,0.3236524822695038,93
664192,L,0.26512713088702694,22,0.3098784209990847,43
664314,L,0.3050668187744459,7,0.3484377364200337,21
664728,L,0.3188917746071405,6,0.3348082922305134,30
664774,L,0.2691813175709811,41,0.35590138813773237,303
664789,L,0.3181225328069988,33,0.30952311396752924,99
664850,L,0.3188917746071405,6,0.33714355788096834,18
664913,L,0.2999542818329067,36,0.33496092557543217,293
665120,L,0.2782072587077905,177,0.36481203794113565,434
665155,L,0.3284139133070628,41,0.3304326248884521,87
665742,L,0.37404258059268497,453,0.41008849037098494,901
665862,L,0.32894003848880793,116,0.3243125271452506,283
665926,L,0.3059291334804722,49,0.3201192493157829,195
666135,L,0.3214982717922779,71,0.3333690235165864,158
666137,L,0.3008178898775674,4,0.32962830238609836,14
666158,L,0.26148893107895116,103,0.33504354112761214,370
666160,L,0.2834294629349471,11,0.33621726129098817,38
666163,L,0.2960446338120494,18,0.31646276181577543,60
666200,L,0.303477659287257,3,0.33679613738764275,5
666211,L,0.2660625055768716,61,0.33389053756147224,118
668731,L,0.2824348885515699,81,0.3589141020774157,251
668942,L,0.3314141454996495,173,0.33543879578268243,444
669016,L,0.2903990689326379,26,0.3290160150730102,73
669288,L,0.30618488253319714,2,0.3222287398702608,55
669432,L,0.3041771701893866,8,0.3165839340668609,30
669674,L,0.30618488253319714,2,0.33571566445635426,4
670032,L,0.2835970788374706,250,0.3032712935604257,709
670042,L,0.2755570570570571,17,0.33258823410980726,47
670084,L,0.2991117396555012,10,0.32804665105575553,46
670351,L,0.33190581214322784,37,0.32044525315898026,101
670541,L,0.3701298644204899,324,0.38395758399859653,538
670768,L,0.3158561690064795,3,0.34122696443710715,10
671277,L,0.2834034192747829,56,0.33500114468864495,168
672284,L,0.26708729871902986,80,0.3180200106634679,126
672701,L,0.3097636897001304,7,0.3334253717529466,39
672779,L,0.3098540721129602,11,0.3270937455009156,39
673451,L,0.309952081247318,50,0.3184849502411627,293
676646,L,0.31143527267818577,3,0.33274606675819884,7
680776,L,0.2903990689326379,26,0.3337648481749531,56
681911,L,0.308940841005909,1,0.3377250194179197,2
405395,R,0.3505997119446161,366,0.2987166329108163,596
408234,R,0.3825021809040559,259,0.30703622843364714,898
425772,R,0.27260608834973704,92,0.2759401800353135,229
425784,R,0.3502687878456931,39,0.3112851436382062,63
425794,R,0.30155906352077705,28,0.2810938031165357,88
425844,R,0.3659592792453342,23,0.315303430921725,37
425877,R,0.35747499533074456,183,0.29850429149975477,807
