batter,stand,hev_R,ab_R,hev_L,ab_L,wHEV
663586,R,78.84,270,78.45,87,78.74
663611,R,69.94,129,72.29,55,70.64
663616,L,82.35,109,76.1,49,80.41
663624,R,79.37,199,79.23,112,79.32
663630,R,75.79,33,74.66,32,75.23
663647,R,74.87,140,74.46,69,74.73
663656,L,82.58,206,84.64,134,83.39
663662,R,71.27,33,77.9,21,73.85
663697,R,77.68,226,77.28,88,77.57
663698,R,72.0,1,79.67,3,77.75
663728,S,76.71,48,70.31,16,75.11
663734,R,40.2,5,73.0,1,45.67
663757,L,77.07,212,71.23,70,75.62
663765,R,58.67,3,73.0,1,62.25
663799,R,69.82,17,70.69,13,70.2
663837,R,84.0,3,81.62,8,82.27
663845,L,87.0,5,62.0,2,79.86
663886,R,77.23,146,79.8,85,78.18
663897,R,63.96,25,64.06,49,64.03
663898,R,77.2,158,76.62,63,77.03
663978,R,43.55,11,9.33,3,36.22
663993,L,80.16,214,75.46,112,78.55
664023,S,77.21,190,73.91,53,76.49
664034,R,78.19,257,78.51,128,78.3
664040,L,82.16,219,73.57,86,79.74
664041,R,42.0,3,73.2,5,61.5
664056,R,74.94,170,75.52,42,75.05
664057,L,76.37,84,70.06,18,75.26
664058,R,67.51,335,71.97,144,68.85
664059,S,76.36,39,69.65,20,74.09
664062,R,51.5,4,75.0,2,59.33
664068,R,64.33,3,69.75,4,67.43
664074,R,46.0,1,69.0,1,57.5
664119,L,94.5,2,45.0,2,69.75
664141,R,58.86,14,33.25,8,49.55
664238,R,73.91,107,76.03,79,74.81
664247,R,76.59,27,83.63,41,80.83
664314,L,77.31,13,85.0,1,77.86
664670,S,71.5,6,74.92,12,73.78
664702,R,76.77,239,77.85,118,77.13
664728,L,75.93,15,41.25,4,68.63
664731,R,63.75,12,87.33,3,68.47
664761,R,79.63,182,81.9,83,80.34
664774,L,82.45,172,68.11,18,81.09
664789,L,72.91,54,67.15,20,71.35
664850,L,68.9,31,73.7,20,70.78
664874,R,71.3,40,83.67,9,73.57
664901,R,70.83,64,76.02,50,73.11
664913,L,77.37,145,79.43,14,77.55
664983,L,64.67,3,56.75,4,60.14
665120,L,79.44,203,70.12,99,76.38
665155,L,77.96,55,79.16,25,78.33
665482,R,68.17,18,68.0,27,68.07
665487,R,82.92,204,83.34,58,83.01
665489,R,82.76,301,78.28,95,81.69
665506,R,58.86,29,63.82,11,60.22
665561,S,72.1,20,74.12,16,73.0
665742,L,79.78,210,78.43,122,79.28
665750,S,69.48,33,72.38,13,70.3
665861,R,63.5,8,94.0,1,66.89
665862,L,78.08,183,77.79,67,78.0
665926,L,72.77,73,66.84,19,71.55
