pitcher,p_throws,hev_R,ab_R,hev_L,ab_L,ip,wHEV
593576,R,56.83,98,57.27,81,0.9,57.03
593604,L,91.0,1,8.0,2,1.0,35.67
593619,R,65.35,40,76.9,20,0.9,69.2
593833,R,65.6,75,61.67,58,0.9,63.89
593958,L,60.39,375,66.6,83,5.0,61.52
593974,L,59.46,92,62.22,46,0.9,60.38
594056,L,76.39,36,70.77,22,1.3,74.26
594311,R,64.33,12,65.36,11,1.2,64.82
594577,R,62.7,124,55.91,97,1.0,59.72
594580,L,56.25,4,36.25,4,0.9,46.25
594694,R,74.91,11,82.5,4,1.0,76.93
594795,L,64.48,33,64.21,14,1.0,64.4
594798,R,43.98,148,47.37,129,6.1,45.56
594809,L,83.0,2,76.33,3,1.0,79.0
594835,L,65.62,279,68.19,102,5.6,66.31
594965,R,67.15,62,64.86,57,1.5,66.05
594985,R,71.57,21,70.95,20,1.4,71.27
594986,L,74.78,27,67.52,23,1.0,71.44
594987,R,61.52,56,52.74,27,1.0,58.66
595014,R,51.1,114,52.41,83,1.0,51.65
595191,R,67.91,44,78.49,43,3.9,73.14
595263,R,88.42,12,94.5,4,3.3,89.94
595345,L,62.18,38,53.77,31,1.0,58.4
595411,L,65.0,26,57.35,20,0.9,61.67
595465,R,56.31,75,58.31,68,0.8,57.26
595798,R,55.67,3,64.6,5,0.9,61.25
595881,R,41.5,4,76.0,1,1.0,48.4
595918,R,61.5,16,76.5,12,1.3,67.93
595928,R,65.41,93,71.98,63,1.1,68.06
595939,R,64.64,28,60.83,12,3.7,63.5
596001,R,66.3,60,69.13,76,2.4,67.88
596027,R,57.93,43,48.56,34,1.1,53.79
596049,L,71.03,37,86.67,6,2.6,73.21
596056,L,86.18,11,74.8,5,1.0,82.62
596057,L,67.9,100,57.44,64,1.0,63.82
596071,L,71.95,42,59.91,11,4.9,69.45
596082,R,52.64,28,76.71,7,1.2,57.45
596112,R,66.66,64,59.55,60,0.9,63.22
596133,R,68.43,91,65.51,69,5.0,67.17
596295,L,64.77,283,63.08,111,5.0,64.29
596825,R,89.17,6,66.0,2,1.0,83.38
597113,R,49.5,6,52.25,8,1.1,51.07
598264,R,56.67,90,56.53,45,0.9,56.62
598286,L,75.18,49,61.0,29,1.6,69.91
598287,R,64.51,47,67.15,34,1.0,65.62
600887,L,73.4,10,85.75,4,1.1,76.93
600921,R,66.57,42,61.21,39,1.0,63.99
600944,R,75.0,4,78.8,5,2.0,77.11
601713,R,64.9,270,63.62,174,5.2,64.4
605130,R,59.08,124,65.04,82,1.0,61.45
605135,R,57.84,276,65.73,235,6.0,61.47
605138,L,67.26,46,77.22,23,1.7,70.58
605151,R,61.54,84,69.07,67,1.0,64.88
605154,R,72.05,38,59.0,31,1.1,66.19
605155,R,66.25,4,93.0,1,0.7,71.6
605164,R,68.71,182,67.67,136,3.9,68.27
605177,L,64.54,97,59.33,70,1.0,62.36
605194,R,57.41,37,56.24,29,1.3,56.9
605195,R,60.81,43,55.58,33,0.9,58.54
605200,R,66.37,293,67.17,197,4.8,66.69
605218,R,72.44,16,69.33,9,0.8,71.32
605240,L,51.0,4,53.0,2,0.8,51.67
605242,R,59.57,122,60.99,84,1.4,60.15
605276,R,68.21,34,86.12,33,1.3,77.03
605280,R,47.73,116,58.77,66,1.0,51.73
605288,R,57.68,200,65.49,182,4.8,61.4
605309,R,74.47,15,63.5,24,0.9,67.72
605347,R,64.98,251,70.57,176,3.9,67.28
605359,R,67.69,54,55.85,39,1.0,62.72
605388,L,67.54,28,44.46,39,0.8,54.11
605397,R,56.81,236,59.8,249,5.7,58.35
605400,R,59.77,270,58.88,258,5.6,59.34
605441,R,58.25,57,61.7,33,1.1,59.52
605447,R,55.41,97,51.78,64,1.0,53.97
605452,R,59.78,200,63.05,185,5.4,61.35
605483,L,61.95,293,49.86,93,4.8,59.04
605488,L,51.34,94,60.31,48,1.0,54.37
605507,R,59.79,121,69.12,97,4.5,63.94
605513,R,62.48,86,57.51,87,5.6,59.98
605521,R,43.45,29,58.6,15,0.8,48.61
605525,R,61.62,71,69.4,48,0.9,64.76
605538,R,57.67,101,55.88,59,1.0,57.01
605540,R,58.25,240,55.65,254,6.0,56.91
605541,R,77.07,15,67.0,16,1.9,71.87
605612,R,94.33,3,73.8,5,0.9,81.5
606149,R,63.8,108,60.18,98,1.1,62.08
606160,R,54.82,119,67.32,75,1.1,59.65
606162,R,40.5,4,90.0,1,2.0,50.4
606213,R,94.5,4,93.0,1,1.0,94.2
606303,R,59.12,82,59.48,48,1.3,59.25
606424,L,62.34,92,67.01,71,1.2,64.37
606625,R,47.25,8,57.2,5,1.0,51.08
606930,R,60.66,58,57.68,44,1.0,59.37
606965,R,76.53,17,64.2,15,0.9,70.75
607054,R,103.0,1,64.0,4,1.0,71.8
607074,L,55.33,291,59.89,84,5.7,56.35
607179,R,77.73,11,58.78,9,0.8,69.2
607188,R,69.85,55,66.27,52,1.5,68.11
607192,R,61.8,137,56.29,116,6.3,59.27
607200,R,62.8,188,62.0,197,4.8,62.39
607219,R,73.19,52,80.53,36,1.4,76.19
607229,R,62.77,57,63.38,40,1.7,63.02
607231,R,72.06,174,64.05,148,2.8,68.38
607237,L,72.96,71,50.4,58,0.7,62.82
607359,R,55.96,52,59.96,45,1.0,57.82
607374,R,66.64,14,78.27,15,1.6,72.66
607391,R,63.2,59,65.69,32,1.9,64.08
607455,L,72.96,50,63.73,26,1.2,69.8
607457,R,67.33,9,49.75,4,1.1,61.92
607468,R,58.5,6,86.88,8,0.9,74.72
607481,L,54.02,102,33.4,50,0.9,47.24
607536,L,68.15,230,63.85,82,5.0,67.02
607560,R,57.39,46,64.24,46,1.1,60.82
607572,L,47.23,57,58.55,49,0.8,52.46
607625,R,59.89,65,61.13,54,1.0,60.45
607644,L,63.93,318,63.45,89,5.6,63.83
607755,L,41.0,1,41.5,2,0.7,41.33
608032,R,64.62,91,63.18,87,1.0,63.92
608328,R,66.16,70,74.03,89,4.8,70.57
608331,L,60.03,337,61.0,101,5.6,60.25
608334,R,62.25,53,64.66,38,1.3,63.26
608335,R,58.94,115,57.44,79,1.3,58.33
608337,R,59.48,279,59.47,255,5.8,59.48
608344,L,72.5,406,69.82,141,5.7,71.81
608349,R,64.26,27,63.58,26,0.9,63.93
608371,R,43.2,75,52.15,47,1.0,46.65
608379,R,65.92,230,62.99,152,4.1,64.75
608566,R,58.25,234,63.08,283,5.7,60.89
608638,R,64.41,90,58.45,49,1.0,62.31
608648,R,62.89,104,74.15,54,0.9,66.74
608650,L,59.54,28,71.83,6,2.2,61.71
608652,R,70.82,28,62.32,22,1.2,67.08
608665,R,50.29,75,67.52,65,1.1,58.29
608678,R,65.16,75,56.94,50,0.9,61.87
608700,R,81.5,2,93.0,1,1.0,85.33
608716,R,66.31,99,66.96,79,1.1,66.6
608717,R,64.92,126,62.49,96,1.2,63.87
608718,L,60.94,156,57.07,81,1.3,59.62
608723,R,56.2,89,68.32,73,1.2,61.66
612434,R,58.76,84,55.0,101,1.0,56.71
613534,R,43.02,84,49.9,58,0.8,45.83
614179,R,61.52,93,70.66,85,1.1,65.88
615698,R,66.76,206,64.85,191,3.4,65.84
617228,R,57.27,116,58.18,44,0.9,57.52
620396,L,60.75,8,64.67,12,0.8,63.1
621002,R,79.67,3,65.0,1,1.0,76.0
621011,R,60.33,3,79.33,3,0.8,69.83
621052,R,58.06,89,61.58,92,1.0,59.85
621056,R,75.91,11,48.5,4,1.0,68.6
621057,R,67.85,39,75.48,29,1.5,71.1
621074,R,70.34,29,53.17,35,1.7,60.95
621076,R,58.93,173,70.07,157,5.4,64.23
621078,R,77.0,5,70.75,4,1.0,74.22
621107,R,63.07,198,68.24,179,5.8,65.52
621111,R,60.81,270,59.4,283,6.5,60.09
621112,R,74.4,30,66.23,26,5.2,70.61
621114,R,62.49,41,68.26,35,1.2,65.15
621121,R,56.04,247,63.62,186,5.7,59.3
621129,R,70.47,30,52.12,16,1.6,64.09
621139,R,60.29,17,71.22,9,0.9,64.07
621219,R,65.25,199,72.8,149,3.5,68.48
621237,L,56.54,92,43.55,51,0.9,51.91
621242,R,45.88,92,54.3,87,1.0,49.97
621244,R,62.98,261,66.55,243,5.8,64.7
621248,R,58.71,41,62.64,33,1.2,60.46
621249,R,64.36,139,70.24,112,1.7,66.98
621259,R,52.29,7,94.0,3,1.5,64.8
621261,R,74.36,22,60.0,14,3.2,68.78
621295,R,63.4,97,73.89,72,1.0,67.87
621345,L,60.19,86,54.22,59,0.8,57.76
621348,L,69.34,91,60.86,65,0.8,65.81
621366,L,68.15,34,55.37,27,1.0,62.49
621368,L,64.78,171,62.38,85,2.1,63.98
621381,L,73.0,17,72.07,15,1.1,72.56
621433,R,77.5,4,51.0,1,1.0,72.2
621500,R,92.0,2,99.0,2,1.0,95.5
621532,R,77.33,3,95.5,4,1.0,87.71
621593,R,61.12,40,57.79,28,0.9,59.75
622065,L,72.09,117,63.38,65,1.4,68.98
622072,L,61.24,333,60.15,106,5.4,60.98
622075,R,59.72,79,66.29,68,1.0,62.76
622088,R,63.14,42,58.1,48,1.5,60.45
622092,R,71.61,80,54.4,53,1.0,64.75
622098,R,59.41,80,61.28,57,1.3,60.19
622250,R,63.8,96,66.98,63,0.9,65.06
622251,R,67.94,96,66.27,71,1.0,67.23
622253,R,60.28,134,61.02,63,1.1,60.52
622256,R,28.38,8,69.75,4,1.3,42.17
622446,R,65.23,43,77.5,42,1.7,71.29
622491,R,57.52,289,58.47,268,5.5,57.98
622492,R,87.8,5,90.5,6,0.8,89.27
622503,R,63.05,134,61.13,99,1.9,62.23
622608,R,68.49,255,69.56,234,5.7,69.0
622694,R,63.0,44,67.73,52,4.5,65.56
622766,R,61.76,76,68.37,57,1.7,64.59
622780,L,58.89,28,55.18,17,0.9,57.49
622786,R,85.17,6,102.5,2,1.3,89.5
623149,R,50.38,91,53.06,62,1.0,51.47
623167,R,72.31,295,65.39,231,5.8,69.27
623352,L,46.93,105,38.74,35,1.0,44.88
623354,L,75.0,9,75.5,6,1.1,75.2
623364,L,63.2,35,33.07,15,1.1,54.16
623437,R,74.43,14,88.86,7,0.8,79.24
623454,R,78.65,23,77.95,21,2.8,78.32
623465,R,71.67,15,72.8,10,2.1,72.12
623470,R,62.64,11,73.43,7,1.1,66.84
623474,R,76.19,16,23.0,4,1.1,65.55
623485,R,62.18,28,69.31,29,2.0,65.81
624133,L,62.13,145,50.58,60,2.0,58.75
624414,R,85.0,2,78.5,2,1.0,81.75
624418,R,74.29,7,88.75,4,2.7,79.55
624427,L,50.5,4,67.6,5,2.7,60.0
624522,R,60.48,94,66.61,80,1.6,63.3
624586,R,61.32,25,62.44,9,0.9,61.62
624647,L,56.75,52,57.84,69,0.8,57.37
625643,R,56.49,51,67.5,50,2.4,61.94
626929,L,69.67,46,67.0,11,3.1,69.15
628317,R,61.67,182,65.02,181,5.0,63.34
628345,L,53.83,12,68.57,14,1.2,61.77
628452,R,48.06,109,52.45,88,1.1,50.02
628711,L,61.02,374,57.77,132,5.8,60.17
630105,R,0.0,1,76.0,2,0.7,50.67
640444,R,68.48,192,66.08,139,4.4,67.47
640448,R,59.13,107,62.75,72,0.9,60.59
640451,R,73.06,17,67.23,13,1.0,70.53
640455,L,64.01,412,56.24,123,5.5,62.22
640462,L,66.39,31,53.0,11,1.2,62.88
640464,R,62.65,23,75.14,28,3.3,69.51
640470,R,58.41,191,68.73,179,5.0,63.4
641154,R,53.82,163,62.78,175,5.3,58.46
641302,L,71.21,217,68.42,62,2.2,70.59
641312,R,64.55,58,82.03,37,1.5,71.36
641360,R,50.82,97,67.02,44,0.9,55.88
641384,R,79.0,1,81.5,2,1.0,80.67
641386,L,60.96,74,61.96,52,0.9,61.37
641394,L,61.06,108,60.55,56,0.9,60.89
